Isotope;Activity concentration for exempt material (kBq/kg);Activity limit for an exempt consignment (Bq) ;A1 [TBq];A2 [TBq];Transport Security Threshold [TBq];D-Value [TBq];Desintegration [Years]
Sn-119m;1000;10000000;40;30;90000;70;#N/A
Sn-121;100000;10000000;;;;;0,003082
Sn-121m;1000;10000000;40;0,9;2700;70;#N/A
Sn-123;1000;1000000;0,8;0,6;1800;7;#N/A
Sn-125;100;100000;0,4;0,4;1200;0,1;#N/A
Sn-126;10;100000;0,6;0,4;1200;0,03;#N/A
Sr-82;10;100000;0,2;0,2;600;0,06;#N/A
Sr-85;100;1000000;2;2;6000;0,1;0,177412731
Sr-85m;100;10000000;5;5;15000;0,1;#N/A
Sr-87m;100;1000000;3;3;9000;0,2;#N/A
Sr-89;1000;1000000;0,6;0,6;1800;20;0,138261465
Sr-90;100;10000;0,3;0,3;10;1;29,1
Sr-91;10;100000;0,3;0,3;900;0,06;#N/A
Sr-92;10;1000000;1;0,3;900;0,04;0,000309149
Ta-178;10;1000000;1;0,8;2400;0,07;#N/A
Ta-179;1000;10000000;30;30;90000;6;#N/A
Ta-182;10;10000;0,9;0,5;1500;0,06;0,314852841
Tb-157;10000;10000000;40;40;120000;100;#N/A
Tb-158;10;1000000;1;1;3000;0,09;#N/A
Tb-160;10;1000000;1;0,6;1800;0,06;#N/A
Tc-95m;10;1000000;2;2;6000;0,1;#N/A
Tc-96;10;1000000;0,4;0,4;1200;0,03;#N/A
Tc-96m;1000;10000000;0,4;0,4;1200;0,03;#N/A
Tc-97;1000;100000000;UL;UL;UL;UL;#N/A
Tc-97m;1000;10000000;40;1;3000;40;#N/A
Tc-98;10;1000000;0,8;0,7;2100;0,05;#N/A
Tc-99;10000;10000000;40;0,9;2700;30;213000
Tc-99m;100;10000000;10;4;12000;0,7;0,000686744
Te-121;10;1000000;2;2;6000;0,1;0,046543463
Te-121m;100;100000;5;3;9000;0,1;0,421629021
Te-123m;100;10000000;8;1;3000;0,6;0,327720739
Te-125m;1000;10000000;20;0,9;2700;10;0,158795346
Te-127;1000;1000000;20;0,7;2100;10;0,001066621
Te-127m;1000;10000000;20;0,5;1500;3;0,298425736
Te-129;100;1000000;0,7;0,6;1800;1;#N/A
Te-129m;1000;1000000;0,8;0,4;1200;1;#N/A
Te-131m;10;1000000;0,7;0,5;1500;0,04;#N/A
Te-132;100;10000000;0,5;0,4;1200;0,03;0,008768
Th-227;10;10000;10;0,005;15;0,08;#N/A
Th-228;1;10000;0,5;0,001;3;0,04;1,91
Th-229;1;1000;5;0,0005;1,5;0,01;#N/A
Th-230;1;10000;10;0,001;3;0,07;77000
Th-231;1000;10000000;40;0,02;60;10;#N/A
Th-232;10;10000;UL;UL;UL;UL;14000000000
Th-234;1000;100000;0,3;0,3;900;2;0,06598
Ti-44;10;100000;0,5;0,4;1200;0,03;#N/A
Tl-200;10;1000000;0,9;0,9;2700;0,05;#N/A
Tl-201;100;1000000;10;4;12000;1;0,008323066
Tl-202;100;1000000;2;2;6000;0,2;#N/A
Tl-204;10000;10000;10;0,7;200;20;3,78
Tm-167;100;1000000;7;0,8;2400;0,6;#N/A
Tm-170;1000;1000000;3;0,6;200;20;0,353182752
Tm-171;10000;100000000;40;40;120000;300;#N/A
U Depleted;1;1000;UL;UL;UL;UL;#N/A
U Enriched 10-20%;1;1000;UL;UL;UL;0,0008;#N/A
U Natural;1;1000;UL;UL;UL;UL;#N/A
U-230;10;10000;40;0,004;12;0,04;#N/A
U-232;10;10000;40;0,007;21;0,06;#N/A
U-233;100;100000;40;0,02;60;0,07;158000
U-234;100;100000;40;0,02;60;0,1;244000
U-235;10;10000;UL;UL;UL;0,00008;704000000
U-236;100;100000;40;0,02;60;0,2;23400000
U-237;10;1000000;;;;;0,0185558
U-238;10;10000;UL;UL;UL;UL;4470000000
V-48;10;100000;0,4;0,4;1200;0,02;#N/A
V-49;10000;10000000;40;40;120000;2000;#N/A
W-178;10;1000000;9;5;15000;0,9;#N/A
W-181;1000;10000000;30;30;90000;5;0,331506849
W-185;10000;10000000;40;0,8;2400;100;0,205612594
W-187;100;1000000;2;0,6;1800;0,1;#N/A
W-188;100;100000;0,4;0,3;900;1;0,190006845
Xe-122;100;1000000000;0,4;0,4;1200;0,06;#N/A
Xe-123;100;1000000000;2;0,7;2100;0,09;#N/A
Xe-127;1000;100000;4;2;6000;0,3;#N/A
Xe-131m;10000;10000;40;40;120000;10;#N/A
Xe-133;1000;10000;20;10;30000;3;0,014346338
Xe-135;1000;10000000000;3;2;6000;0,3;#N/A
Y-87;10;1000000;1;1;3000;0,09;#N/A
Y-88;10;1000000;0,4;0,4;1200;0,03;0,2917
Y-90;1000;100000;0,3;0,3;900;5;0,007310062
Y-91;1000;1000000;0,6;0,6;1800;8;#N/A
Y-91m;100;1000000;2;2;6000;0,1;#N/A
Y-92;100;100000;0,2;0,2;600;0,2;#N/A
Y-93;100;100000;0,3;0,3;900;0,6;#N/A
Yb-169;100;10000000;4;1;3;0,3;0,087611225
Yb-175;1000;10000000;30;0,9;2700;2;#N/A
Zn-65;10;1000000;2;2;6000;0,1;0,668035592
Zn-69;10000;1000000;3;0,6;1800;30;0,000108373
Zn-69m;100;1000000;3;0,6;1800;0,2;#N/A
Zr-88;100;1000000;3;3;9000;0,02;#N/A
Zr-93;1000;10000000;UL;UL;UL;UL;#N/A
Zr-95;10;1000000;2;0,8;2400;0,04;0,17522245
Zr-97;10;100000;0,4;0,4;1200;0,04;#N/A
